,Path,Length,Shruti,Stroke
27,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224057__akshaylaya__cha-b-023.wav,4865.0,B,cha
28,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224058__akshaylaya__cha-b-024.wav,4609.0,B,cha
29,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224059__akshaylaya__cha-b-025.wav,8705.0,B,cha
30,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224060__akshaylaya__cha-b-026.wav,9473.0,B,cha
31,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224061__akshaylaya__cha-b-027.wav,4609.0,B,cha
32,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224062__akshaylaya__cha-b-028.wav,8961.0,B,cha
33,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224063__akshaylaya__cha-b-029.wav,4353.0,B,cha
34,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224064__akshaylaya__cha-b-030.wav,8705.0,B,cha
35,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224065__akshaylaya__cha-b-031.wav,8705.0,B,cha
36,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224066__akshaylaya__cha-b-032.wav,8705.0,B,cha
37,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224067__akshaylaya__cha-b-033.wav,4609.0,B,cha
38,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224068__akshaylaya__cha-b-034.wav,7425.0,B,cha
39,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224069__akshaylaya__cha-b-035.wav,4353.0,B,cha
40,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224070__akshaylaya__cha-b-036.wav,4865.0,B,cha
41,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224071__akshaylaya__cha-b-037.wav,4865.0,B,cha
42,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224072__akshaylaya__cha-b-038.wav,4609.0,B,cha
43,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224073__akshaylaya__cha-b-039.wav,4865.0,B,cha
44,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224074__akshaylaya__cha-b-040.wav,4609.0,B,cha
45,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224075__akshaylaya__cha-b-041.wav,4865.0,B,cha
46,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224076__akshaylaya__cha-b-042.wav,4609.0,B,cha
47,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224077__akshaylaya__cha-b-043.wav,4609.0,B,cha
48,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224078__akshaylaya__cha-b-044.wav,5121.0,B,cha
49,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224079__akshaylaya__cha-b-045.wav,7681.0,B,cha
50,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224080__akshaylaya__cha-b-046.wav,4865.0,B,cha
51,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224081__akshaylaya__cha-b-047.wav,4609.0,B,cha
52,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224082__akshaylaya__cha-b-048.wav,4865.0,B,cha
53,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224083__akshaylaya__cha-b-049.wav,5121.0,B,cha
54,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224084__akshaylaya__cha-b-050.wav,4865.0,B,cha
55,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224085__akshaylaya__cha-b-051.wav,4865.0,B,cha
56,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224086__akshaylaya__cha-b-052.wav,4865.0,B,cha
57,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224087__akshaylaya__cha-b-053.wav,4865.0,B,cha
58,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224088__akshaylaya__cha-b-054.wav,4865.0,B,cha
59,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224089__akshaylaya__cha-b-055.wav,4609.0,B,cha
60,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224090__akshaylaya__cha-b-056.wav,4609.0,B,cha
61,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224091__akshaylaya__cha-b-057.wav,4865.0,B,cha
62,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224092__akshaylaya__dheem-b-001.wav,18177.0,B,dheem
63,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224093__akshaylaya__dheem-b-002.wav,13103.0,B,dheem
64,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224094__akshaylaya__dheem-b-003.wav,9985.0,B,dheem
65,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224095__akshaylaya__dheem-b-004.wav,9985.0,B,dheem
66,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224096__akshaylaya__dheem-b-005.wav,9985.0,B,dheem
67,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224097__akshaylaya__dheem-b-006.wav,9473.0,B,dheem
68,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224098__akshaylaya__dheem-b-007.wav,9729.0,B,dheem
69,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224099__akshaylaya__dheem-b-008.wav,9473.0,B,dheem
70,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224100__akshaylaya__dheem-b-009.wav,9985.0,B,dheem
71,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224101__akshaylaya__dheem-b-010.wav,9985.0,B,dheem
72,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224102__akshaylaya__dheem-b-011.wav,10241.0,B,dheem
73,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224103__akshaylaya__dheem-b-012.wav,9729.0,B,dheem
74,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224104__akshaylaya__dheem-b-013.wav,10529.0,B,dheem
75,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224105__akshaylaya__dheem-b-014.wav,9729.0,B,dheem
76,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224106__akshaylaya__dheem-b-015.wav,9473.0,B,dheem
77,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224107__akshaylaya__dheem-b-016.wav,9473.0,B,dheem
78,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224108__akshaylaya__dheem-b-017.wav,9985.0,B,dheem
79,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224109__akshaylaya__dheem-b-018.wav,9729.0,B,dheem
80,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224110__akshaylaya__dheem-b-019.wav,9473.0,B,dheem
81,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224111__akshaylaya__dheem-b-020.wav,9729.0,B,dheem
82,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224112__akshaylaya__dheem-b-021.wav,9985.0,B,dheem
83,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224113__akshaylaya__dheem-b-022.wav,9729.0,B,dheem
84,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224114__akshaylaya__dheem-b-023.wav,9729.0,B,dheem
85,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224115__akshaylaya__dheem-b-024.wav,4609.0,B,dheem
86,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224116__akshaylaya__dheem-b-025.wav,9217.0,B,dheem
87,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224117__akshaylaya__dheem-b-026.wav,9985.0,B,dheem
88,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224118__akshaylaya__dheem-b-027.wav,9729.0,B,dheem
89,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224119__akshaylaya__dheem-b-028.wav,9473.0,B,dheem
90,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224120__akshaylaya__dheem-b-029.wav,9985.0,B,dheem
91,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224121__akshaylaya__dheem-b-030.wav,10241.0,B,dheem
92,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224122__akshaylaya__dheem-b-031.wav,9985.0,B,dheem
93,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224123__akshaylaya__dheem-b-032.wav,9985.0,B,dheem
94,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224124__akshaylaya__dheem-b-033.wav,4609.0,B,dheem
95,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224125__akshaylaya__dheem-b-034.wav,4609.0,B,dheem
96,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224126__akshaylaya__dheem-b-035.wav,9985.0,B,dheem
97,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224127__akshaylaya__dheem-b-036.wav,9729.0,B,dheem
98,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224128__akshaylaya__dheem-b-037.wav,9729.0,B,dheem
99,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224129__akshaylaya__dheem-b-038.wav,9985.0,B,dheem
100,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224130__akshaylaya__dheem-b-039.wav,9150.0,B,dheem
101,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224131__akshaylaya__dheem-b-040.wav,9217.0,B,dheem
102,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224132__akshaylaya__dheem-b-041.wav,9217.0,B,dheem
103,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224133__akshaylaya__dheem-b-042.wav,9729.0,B,dheem
104,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224134__akshaylaya__dheem-b-043.wav,8961.0,B,dheem
105,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224135__akshaylaya__dheem-b-044.wav,6348.0,B,dheem
106,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224136__akshaylaya__dheem-b-045.wav,9729.0,B,dheem
107,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224137__akshaylaya__dheem-b-046.wav,9473.0,B,dheem
108,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224138__akshaylaya__dheem-b-047.wav,9473.0,B,dheem
109,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224139__akshaylaya__dheem-b-048.wav,9729.0,B,dheem
110,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224140__akshaylaya__dheem-b-049.wav,9473.0,B,dheem
111,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224141__akshaylaya__dheem-b-050.wav,8374.0,B,dheem
112,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224142__akshaylaya__dheem-b-051.wav,9217.0,B,dheem
113,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224143__akshaylaya__dheem-b-052.wav,9217.0,B,dheem
114,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224144__akshaylaya__dheem-b-053.wav,9473.0,B,dheem
115,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224145__akshaylaya__dheem-b-054.wav,10241.0,B,dheem
116,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224146__akshaylaya__dheem-b-055.wav,9729.0,B,dheem
117,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224147__akshaylaya__dheem-b-056.wav,9473.0,B,dheem
118,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224148__akshaylaya__dheem-b-057.wav,7454.0,B,dheem
119,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224149__akshaylaya__dheem-b-058.wav,9729.0,B,dheem
120,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224150__akshaylaya__dheem-b-059.wav,8961.0,B,dheem
121,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224151__akshaylaya__dheem-b-060.wav,9729.0,B,dheem
122,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224152__akshaylaya__dheem-b-061.wav,9985.0,B,dheem
123,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224153__akshaylaya__dheem-b-062.wav,26625.0,B,dheem
124,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224154__akshaylaya__dheem-b-063.wav,9217.0,B,dheem
125,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224155__akshaylaya__dheem-b-064.wav,8152.0,B,dheem
126,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224156__akshaylaya__dheem-b-065.wav,10497.0,B,dheem
127,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224157__akshaylaya__dheem-b-066.wav,9892.0,B,dheem
128,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224158__akshaylaya__dheem-b-067.wav,8961.0,B,dheem
129,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224159__akshaylaya__dheem-b-068.wav,8961.0,B,dheem
130,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224160__akshaylaya__dheem-b-069.wav,8705.0,B,dheem
131,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224161__akshaylaya__dheem-b-070.wav,7505.0,B,dheem
132,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224162__akshaylaya__dheem-b-071.wav,9217.0,B,dheem
133,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224163__akshaylaya__dheem-b-072.wav,9217.0,B,dheem
134,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224164__akshaylaya__dheem-b-073.wav,9217.0,B,dheem
135,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224165__akshaylaya__dheem-b-074.wav,10241.0,B,dheem
136,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224166__akshaylaya__dheem-b-075.wav,9473.0,B,dheem
137,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224167__akshaylaya__dheem-b-076.wav,9729.0,B,dheem
138,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224168__akshaylaya__dheem-b-077.wav,9729.0,B,dheem
139,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224169__akshaylaya__dheem-b-078.wav,9985.0,B,dheem
140,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224170__akshaylaya__dheem-b-079.wav,9473.0,B,dheem
141,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224171__akshaylaya__dheem-b-080.wav,9729.0,B,dheem
142,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224172__akshaylaya__dheem-b-081.wav,9729.0,B,dheem
143,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224173__akshaylaya__dheem-b-082.wav,9729.0,B,dheem
144,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224174__akshaylaya__dheem-b-083.wav,9729.0,B,dheem
145,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224175__akshaylaya__dheem-b-084.wav,4865.0,B,dheem
146,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224176__akshaylaya__dheem-b-085.wav,9473.0,B,dheem
147,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224177__akshaylaya__dheem-b-086.wav,8193.0,B,dheem
148,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224178__akshaylaya__dheem-b-087.wav,8449.0,B,dheem
149,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224179__akshaylaya__dheem-b-088.wav,8193.0,B,dheem
150,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224180__akshaylaya__dheem-b-089.wav,8449.0,B,dheem
151,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224181__akshaylaya__dheem-b-090.wav,8193.0,B,dheem
152,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224182__akshaylaya__dheem-b-091.wav,8705.0,B,dheem
153,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224183__akshaylaya__dheem-b-092.wav,8193.0,B,dheem
154,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224184__akshaylaya__dheem-b-093.wav,8449.0,B,dheem
155,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224185__akshaylaya__dheem-b-094.wav,8449.0,B,dheem
156,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224186__akshaylaya__dheem-b-095.wav,9473.0,B,dheem
157,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224187__akshaylaya__dheem-b-096.wav,8193.0,B,dheem
158,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224188__akshaylaya__dheem-b-097.wav,8449.0,B,dheem
159,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224189__akshaylaya__dheem-b-098.wav,7937.0,B,dheem
160,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224190__akshaylaya__dheem-b-099.wav,9473.0,B,dheem
161,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224191__akshaylaya__dheem-b-100.wav,9729.0,B,dheem
162,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224192__akshaylaya__dheem-b-101.wav,9985.0,B,dheem
163,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224193__akshaylaya__dheem-b-102.wav,9473.0,B,dheem
164,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224194__akshaylaya__dheem-b-103.wav,9729.0,B,dheem
165,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224195__akshaylaya__dheem-b-104.wav,9985.0,B,dheem
166,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224196__akshaylaya__dheem-b-105.wav,9473.0,B,dheem
167,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224197__akshaylaya__dheem-b-106.wav,4609.0,B,dheem
168,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224198__akshaylaya__dheem-b-107.wav,9985.0,B,dheem
169,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224199__akshaylaya__dheem-b-108.wav,9729.0,B,dheem
170,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224200__akshaylaya__dheem-b-109.wav,9729.0,B,dheem
171,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224201__akshaylaya__dheem-b-110.wav,9473.0,B,dheem
172,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224202__akshaylaya__dheem-b-111.wav,9985.0,B,dheem
173,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224203__akshaylaya__dheem-b-112.wav,9473.0,B,dheem
174,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224204__akshaylaya__dheem-b-113.wav,9729.0,B,dheem
175,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224205__akshaylaya__dheem-b-114.wav,9473.0,B,dheem
176,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224206__akshaylaya__dheem-b-115.wav,9473.0,B,dheem
177,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224207__akshaylaya__dheem-b-116.wav,14081.0,B,dheem
178,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224208__akshaylaya__dheem-b-117.wav,4429.0,B,dheem
179,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224209__akshaylaya__dheem-b-118.wav,14081.0,B,dheem
180,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224210__akshaylaya__dheem-b-119.wav,18689.0,B,dheem
181,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224211__akshaylaya__dheem-b-120.wav,19713.0,B,dheem
182,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224212__akshaylaya__dheem-b-121.wav,18689.0,B,dheem
183,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224213__akshaylaya__dheem-b-122.wav,17665.0,B,dheem
184,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224214__akshaylaya__dheem-b-123.wav,18689.0,B,dheem
185,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224215__akshaylaya__dheem-b-124.wav,19457.0,B,dheem
186,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224216__akshaylaya__dheem-b-125.wav,19969.0,B,dheem
187,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224217__akshaylaya__dheem-b-126.wav,10497.0,B,dheem
188,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224218__akshaylaya__dheem-b-127.wav,10241.0,B,dheem
189,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224219__akshaylaya__dhin-b-001.wav,8961.0,B,dhin
190,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224220__akshaylaya__dhin-b-002.wav,9729.0,B,dhin
191,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224221__akshaylaya__dhin-b-003.wav,9473.0,B,dhin
192,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224222__akshaylaya__dhin-b-004.wav,9473.0,B,dhin
193,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224223__akshaylaya__dhin-b-005.wav,9217.0,B,dhin
194,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224224__akshaylaya__dhin-b-006.wav,9473.0,B,dhin
195,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224225__akshaylaya__dhin-b-007.wav,9473.0,B,dhin
196,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224226__akshaylaya__dhin-b-008.wav,9985.0,B,dhin
197,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224227__akshaylaya__dhin-b-009.wav,9473.0,B,dhin
198,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224228__akshaylaya__dhin-b-010.wav,9473.0,B,dhin
199,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224229__akshaylaya__dhin-b-011.wav,9217.0,B,dhin
200,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224230__akshaylaya__dhin-b-012.wav,9473.0,B,dhin
201,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224231__akshaylaya__dhin-b-013.wav,4865.0,B,dhin
202,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224232__akshaylaya__dhin-b-014.wav,4609.0,B,dhin
203,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224233__akshaylaya__dhin-b-015.wav,4609.0,B,dhin
204,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224234__akshaylaya__dhin-b-016.wav,4865.0,B,dhin
205,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224235__akshaylaya__dhin-b-017.wav,9729.0,B,dhin
206,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224236__akshaylaya__dhin-b-018.wav,9985.0,B,dhin
207,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224237__akshaylaya__dhin-b-019.wav,9729.0,B,dhin
208,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224238__akshaylaya__dhin-b-020.wav,9729.0,B,dhin
209,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224239__akshaylaya__dhin-b-021.wav,9729.0,B,dhin
210,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224240__akshaylaya__dhin-b-022.wav,9729.0,B,dhin
211,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224241__akshaylaya__dhin-b-023.wav,9985.0,B,dhin
212,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224242__akshaylaya__dhin-b-024.wav,9473.0,B,dhin
213,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224243__akshaylaya__dhin-b-025.wav,9729.0,B,dhin
214,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224244__akshaylaya__dhin-b-026.wav,9729.0,B,dhin
215,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224245__akshaylaya__dhin-b-027.wav,10241.0,B,dhin
216,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224246__akshaylaya__dhin-b-028.wav,10497.0,B,dhin
217,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224247__akshaylaya__dhin-b-029.wav,9217.0,B,dhin
218,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224248__akshaylaya__dhin-b-030.wav,9217.0,B,dhin
219,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224249__akshaylaya__dhin-b-031.wav,17921.0,B,dhin
220,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224250__akshaylaya__dhin-b-032.wav,8705.0,B,dhin
221,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224251__akshaylaya__dhin-b-033.wav,9473.0,B,dhin
222,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224252__akshaylaya__dhin-b-034.wav,9473.0,B,dhin
223,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224253__akshaylaya__dhin-b-035.wav,9217.0,B,dhin
224,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224254__akshaylaya__dhin-b-036.wav,6058.0,B,dhin
225,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224255__akshaylaya__dhin-b-037.wav,9729.0,B,dhin
226,/content/gdrive/My Drive/mridangam_stroke_1.0/B/224256__akshaylaya__dhin-b-038.wav,9729.0,B,dhin
